Department / Service,Description
Pediatrics,Child healthcare services from newborns to adolescents
Dermatology,"Skin, hair, nail and laser treatments"
Cardiology,Heart diagnostics and treatment
Orthopedics,"Bone, joints, spine and sports injuries"
General Surgery,General surgical operations and procedures
ENT,"Ear, Nose and Throat surgery and treatment"
Ophthalmology,Eye care and surgery
Urology,Urinary system and male reproductive treatment
Dentistry,Dental care and cosmetic dentistry
Internal Medicine,General adult medicine and diagnostics
Neurology,Brain and nervous system disorders
Obstetrics & Gynecology,Women's health and childbirth
Radiology,"X-ray, CT, MRI and ultrasound imaging"
ICU & Emergency,Critical and emergency care
Physiotherapy,Rehabilitation and physical therapy
Homecare Service,At-home medical and nursing service
Pulmonology,"Lungs, airways and respiratory system"
Gastroenterology,Digestive system and liver disorders
Endocrinology,"Diabetes, thyroid and hormonal disorders"
Rheumatology,Joints and autoimmune diseases
Nephrology,Kidney disease and dialysis
Hematology,Blood disorders and transfusion
Plastic Surgery,Reconstructive and cosmetic surgery
Vascular Surgery,Arteries and veins treatment
Neurosurgery,Brain and spinal cord surgery
Clinical Oncology,Cancer treatment with chemotherapy and radiation
Surgical Oncology,Cancer surgery and tumor removal
Hepatology,Liver and biliary system diseases
Audiology,Hearing assessment and rehabilitation
Phonetics,Speech and communication disorders
Oral Surgery,Surgical treatment of mouth and jaw
Anesthesia,Anesthesia and pain management
Psychiatry,Mental health and behavioral disorders
Allergy & Immunology,Allergies and immune system disorders
Infectious Disease,Bacterial and viral infection treatment
Pain Management,Chronic and acute pain treatment
Sports Medicine,Athletic injuries and performance medicine
Geriatrics,Elderly care and age-related conditions
Neonatology,Newborn and premature infant intensive care
Interventional Radiology,Minimally invasive image-guided procedures
Nuclear Medicine,Radioactive imaging and therapy
Pathology,Laboratory analysis and disease diagnosis
Clinical Nutrition,Therapeutic diet and nutritional management
Bariatric Surgery,Weight-loss and metabolic surgery
Cardiac Surgery,Open heart and bypass surgery
Thoracic Surgery,Chest and lung surgery
Colorectal Surgery,Colon and rectal diseases and surgery
Maxillofacial Surgery,Face and jaw surgery
Reproductive Medicine,Fertility and IVF treatment
Sleep Medicine,Sleep disorders and polysomnography
Dental Radiology,Dental X-ray and imaging
Orthodontics,Teeth alignment and braces
Prosthodontics,Dental prosthetics and implants
Endodontics,Root canal and pulp treatment
Periodontics,Gum disease and dental implants
Pediatric Dentistry,Child dental care
Aesthetic Dentistry,Smile design and whitening
Diabetology,Comprehensive diabetes management
Thyroid Clinic,Thyroid disease and goiter management
Hypertension Clinic,Blood pressure monitoring and control
Chest Medicine,Asthma and chronic respiratory disease
Oncology Pharmacy,Cancer medication and chemotherapy support
Palliative Care,Comfort and quality-of-life care
Wound Care,Chronic wound and ulcer management
Dermatosurgery,Skin surgery and mole removal
Laser Medicine,Laser treatments for skin and vascular conditions
Physical Medicine,Physical rehabilitation and electrotherapy
Occupational Therapy,Functional rehabilitation and daily living skills
Podiatry,Foot and ankle care
Dietetics,Nutritional counseling and meal planning
Genetic Medicine,Hereditary conditions and genetic counseling
Hyperbaric Medicine,Oxygen therapy for wound healing and diving injuries
Travel Medicine,Vaccinations and health advice for travelers
Preventive Medicine,Health screening and disease prevention
Disaster Medicine,Emergency preparedness and mass casualty response
